HGNC_SYMBOL,LOG2FC,PVALUE
ARHGAP18,0.066,0.524
ARHGAP19,-0.092,0.272
ARHGAP20,0.304,0.156
ARHGAP21,0.148,0.398
ARHGAP22,0.276,0.068
ARHGAP23,0.415,0.158
ARHGAP24,-0.323,0.094
ARHGAP25,-0.239,0.352
ARHGAP26,-0.169,0.148
ARHGAP27,-0.142,0.592
ARHGAP28,0.507,0.070
ARHGAP29,-0.128,0.675
ARHGAP30,0.033,0.197
ARHGAP31,0.047,0.912
ARHGAP32,0.015,0.826
ARHGAP33,-0.197,0.462
ARHGAP35,0.103,0.074
ARHGAP36,-0.033,0.632
ARHGAP39,-0.045,0.859
ARHGAP4,-0.037,0.013
ARHGAP40,0.067,0.960
ARHGAP42,0.065,0.787
ARHGAP44,-0.231,0.171
ARHGAP5,-0.229,0.080
ARHGAP6,-0.101,0.421
ARHGAP8,-0.249,0.267
ARHGAP9,-0.187,0.406
ARHGDIA,0.065,0.585
ARHGDIB,0.073,0.786
ARHGDIG,-0.093,0.698
ARHGEF1,-0.035,0.931
ARHGEF10,-0.119,0.783
ARHGEF10L,0.153,0.171
ARHGEF11,0.174,0.228
ARHGEF12,-0.073,0.593
ARHGEF15,0.070,0.864
ARHGEF16,0.115,0.342
ARHGEF17,-0.141,0.392
ARHGEF18,0.008,0.822
ARHGEF19,0.198,0.876
ARHGEF2,0.152,0.608
ARHGEF25,0.225,0.331
ARHGEF26,-0.368,0.011
ARHGEF3,-0.015,0.928
ARHGEF33,0.072,0.446
ARHGEF35,-0.062,0.650
ARHGEF37,-0.053,0.661
ARHGEF38,-0.091,0.256
ARHGEF4,-0.370,0.055
ARHGEF40,-0.236,0.013
ARHGEF5,0.266,0.012
ARHGEF6,0.309,0.296
ARHGEF7,0.071,0.894
ARHGEF9,-0.052,0.711
ARID1A,0.021,0.904
ARID1B,-0.066,0.951
ARID2,-0.156,0.103
ARID3A,0.220,0.190
ARID3B,0.167,0.287
ARID3C,-0.467,0.042
ARID4A,-0.241,0.234
ARID4B,-0.031,0.335
ARID5A,0.132,0.539
ARID5B,-0.319,0.042
ARIH1,-0.014,0.787
ARIH2,-0.175,0.020
ARL1,-0.017,0.827
ARL10,-1.560,0.002
ARL11,0.034,0.748
ARL13A,-0.156,0.445
ARL13B,-0.085,0.546
ARL14,-0.742,0.001
ARL15,-0.324,0.185
ARL16,-0.033,0.844
ARL17A,-0.161,0.110
ARL17B,-0.117,0.640
ARL2,0.149,0.141
ARL2BP,-0.097,0.448
ARL3,-0.273,0.115
ARL4A,-0.374,0.060
ARL4C,0.365,0.243
ARL4D,0.583,0.003
ARL5A,-0.005,0.966
ARL5B,-0.061,0.532
ARL5C,0.380,0.112
ARL6,0.059,0.728
ARL6IP1,0.115,0.208
ARL6IP4,-0.002,0.894
ARL6IP5,-0.145,0.194
ARL6IP6,-0.099,0.547
ARL8A,0.224,0.071
ARL8B,-0.002,0.965
ARL9,-0.083,0.360
ARMC1,0.095,0.485
ARMC10,-0.019,0.986
ARMC2,1.810,0.148
ARMC3,-0.062,0.962
ARMC4,-0.194,0.708
ARMC5,-0.062,0.318
ARMC6,-0.152,0.089
ARMC7,0.074,0.400
ARMC8,-0.201,0.129
ARMC9,-0.109,0.221
ARMCX1,0.018,0.942
ARMCX2,-0.234,0.083
ARMCX3,0.008,0.979
ARMCX3-AS1,0.066,0.874
ARMCX4,0.014,0.971
ARMCX5,0.023,0.745
ARMCX6,0.083,0.454
ARMS2,0.119,0.099
ARNT,-0.111,0.357
ARNT2,-0.080,0.808
ARNTL,-0.137,0.757
ARNTL2,0.089,0.313
ARPC1A,0.103,0.271
ARPC1B,0.197,0.077
ARPC2,0.088,0.368
ARPC3,-0.015,0.879
ARPC4,0.084,0.382
ARPC4-TTLL3,0.032,0.058
ARPC5,-0.126,0.147
ARPC5L,-0.130,0.426
ARPM1,-0.063,0.476
ARPP19,0.228,0.006
ARPP21,-0.540,0.027
ARR3,0.000,0.999
ARRB1,0.794,0.005
ARRB2,0.600,0.003
ARRDC1,0.129,0.193
ARRDC2,0.000,0.999
ARRDC3,-0.002,0.996
ARRDC4,0.008,0.951
ARRDC5,0.114,0.722
ARSA,-0.210,0.023
ARSB,0.513,0.014
ARSD,-0.141,0.092
ARSE,-0.113,0.308
ARSF,0.079,0.836
ARSG,0.142,0.460
ARSH,0.369,0.044
ARSI,-1.480,0.302
ARSJ,-0.429,0.075
ARSK,-0.272,0.105
ART1,0.184,0.773
ART3,0.622,0.137
ART4,-0.414,0.009
ART5,-0.079,0.523
ARTN,0.117,0.326
ARV1,-0.011,0.935
ARVCF,-0.171,0.488
ARVP6125,1.580,0.282
ARX,0.438,0.052
AS3MT,-0.132,0.497
ASAH1,0.200,0.182
ASAH2,-0.147,0.142
ASAP1,0.222,0.097
ASAP1-IT1,-0.484,0.008
ASAP2,0.837,0.001
ASAP3,0.044,0.389
ASB1,-0.190,0.066
ASB10,0.088,0.812
ASB11,-0.247,0.143
ASB12,0.519,0.151
ASB13,-0.106,0.561
ASB14,0.006,0.918
ASB15,-0.832,0.013
ASB16,0.123,0.740
ASB17,-0.009,0.888
ASB18,0.287,0.604
ASB2,0.006,0.988
ASB3,0.049,0.713
ASB4,0.012,0.925
ASB5,0.147,0.688
ASB6,0.001,0.996
ASB7,0.089,0.279
ASB8,0.106,0.689
ASB9,0.174,0.171
ASCC1,0.069,0.437
ASCC2,0.024,0.785
ASCC3,-0.013,0.965
ASCL1,-0.414,0.006
ASCL2,-0.028,0.865
ASCL3,1.160,0.130
ASCL4,0.006,0.916
ASF1A,0.319,0.497
ASF1B,0.046,0.727
ASGR1,-0.241,0.092
ASGR2,-0.395,0.003
ASH1L,-0.251,0.210
ASH2L,0.062,0.340
ASIP,0.253,0.519
ASL,-0.031,0.778
ASMT,0.476,0.538
ASMTL,0.051,0.534
ASMTL-AS1,-0.278,0.133
ASNA1,0.071,0.384
ASNS,0.201,0.224
ASNSD1,0.035,0.673
ASPA,-0.726,0.004
ASPDH,0.207,0.574
ASPG,0.896,0.001
ASPH,0.164,0.268
ASPHD1,-0.295,0.016
ASPHD2,0.350,0.103
ASPM,-0.670,0.000
ASPN,0.191,0.654
ASPRV1,-0.044,0.836
ASPSCR1,-0.002,0.461
ASRGL1,0.174,0.241
ASS1,-0.405,0.001
ASTE1,0.045,0.738
ASTL,0.042,0.875
ASTN1,0.112,0.322
ASTN2,0.179,0.370
ASXL1,0.061,0.733
ASXL2,0.011,0.480
ASXL3,-1.180,0.057
ASZ1,0.173,0.141
ATAD1,-0.126,0.212
ATAD2,-0.251,0.089
ATAD2B,0.155,0.387
ATAD3A,-0.017,0.827
ATAD3B,-0.027,0.947
ATAD3C,0.051,0.824
ATAD5,0.348,0.362
ATAT1,-0.028,0.276
ATCAY,0.557,0.001
ATE1,-0.064,0.597
ATF1,-0.055,0.436
ATF2,0.113,0.162
ATF3,-0.137,0.766
ATF4,-0.047,0.546
ATF5,0.042,0.737
ATF6,0.166,0.074
ATF6B,-0.058,0.832
ATF7,0.724,0.216
ATF7IP,0.085,0.616
ATF7IP2,0.423,0.001
ATG10,-0.200,0.288
ATG12,-0.100,0.320
ATG13,-0.006,0.997
ATG14,0.013,0.956
ATG16L1,-0.044,0.755
ATG16L2,0.186,0.333
ATG2A,0.233,0.027
ATG2B,-0.206,0.096
ATG3,0.004,0.958
ATG4A,0.040,0.647
ATG4B,0.058,0.357
ATG4C,-0.033,0.942
ATG4D,-0.238,0.189
ATG5,-0.060,0.185
ATG7,0.134,0.155
ATG9A,-0.113,0.244
ATG9B,-0.289,0.597
ATHL1,0.044,0.674
ATIC,-0.005,0.939
ATL1,-0.022,0.822
ATL2,-0.179,0.126
ATL3,-0.079,0.337
ATM,0.060,0.678
ATMIN,0.200,0.185
ATN1,0.099,0.328
ATOH1,0.129,0.670
ATOH7,-0.450,0.342
ATOH8,-0.834,0.003
ATOX1,0.021,0.875
ATP10A,-0.093,0.536
ATP10B,-0.072,0.518
ATP10D,0.613,0.165
ATP11A,0.048,0.680
ATP11B,-0.081,0.591
ATP11C,-0.185,0.155
ATP12A,0.206,0.692
ATP13A1,0.145,0.204
ATP13A2,0.084,0.525
ATP13A3,-0.102,0.109
ATP13A4,0.277,0.511
ATP13A5,0.041,0.535
ATP1A1,-0.120,0.210
ATP1A1OS,-0.116,0.639
ATP1A2,0.209,0.202
ATP1A3,-0.065,0.854
ATP1A4,-0.162,0.307
ATP1B1,0.035,0.735
ATP1B2,-0.266,0.283
ATP1B3,-0.042,0.558
ATP1B4,0.170,0.188
ATP2A1,0.207,0.373
ATP2A2,0.013,0.598
ATP2A3,-0.152,0.747
ATP2B1,-0.231,0.526
ATP2B2,0.050,0.061
ATP2B3,-0.008,0.995
ATP2B4,-0.195,0.164
ATP2C1,0.094,0.202
ATP2C2,0.232,0.502
ATP4A,-0.084,0.833
ATP4B,2.540,0.256
ATP5A1,-0.001,0.984
ATP5B,-0.042,0.654
ATP5C1,-0.211,0.055
ATP5D,-0.116,0.338
ATP5E,-0.022,0.790
ATP5F1,-0.094,0.373
ATP5G1,-0.182,0.173
ATP5G2,-0.146,0.147
ATP5G3,-0.170,0.036
ATP5H,-0.189,0.096
ATP5I,-0.046,0.618
ATP5J,-0.162,0.152
ATP5J2,-0.109,0.672
ATP5L,-0.281,0.062
ATP5L2,-0.221,0.802
ATP5O,-0.069,0.341
ATP5S,-0.077,0.306
ATP5SL,-0.058,0.484
ATP6,0.162,0.150
ATP6AP1,0.086,0.350
ATP6AP1L,-0.358,0.037
ATP6AP2,-0.050,0.430
ATP6V0A1,0.185,0.037
ATP6V0A4,-0.123,0.655
ATP6V0B,0.135,0.166
ATP6V0C,0.031,0.729
ATP6V0D1,0.113,0.096
ATP6V0D2,-0.599,0.453
ATP6V0E1,0.169,0.139
ATP6V0E2,-0.146,0.304
ATP6V1A,0.009,0.919
ATP6V1B1,0.269,0.284
ATP6V1B2,0.111,0.473
ATP6V1C1,0.005,0.835
ATP6V1C2,-0.254,0.327
ATP6V1D,-0.072,0.360
ATP6V1E1,-0.025,0.785
ATP6V1E2,-0.265,0.035
ATP6V1F,0.152,0.303
ATP6V1G1,0.082,0.274
ATP6V1G2,0.441,0.272
ATP6V1G3,-0.084,0.430
ATP6V1H,-0.058,0.750
ATP7A,-0.159,0.852
ATP7B,0.125,0.280
ATP8,0.276,0.078
ATP8A1,0.086,0.503
ATP8A2,-0.023,0.584
ATP8B1,0.027,0.772
ATP8B2,0.816,0.037
ATP8B3,-0.057,0.666
ATP8B4,0.341,0.414
ATP8B5P,-0.138,0.908
ATP9A,-0.186,0.076
ATP9B,-0.003,1.000
ATPAF1,-0.475,0.096
ATPAF1-AS1,-1.060,0.048
ATPAF2,0.170,0.048
ATPBD4,0.544,0.368
ATPIF1,-0.266,0.017
ATR,-0.096,0.147
ATRIP,-0.120,0.201
ATRN,-0.166,0.195
ATRNL1,0.204,0.641
ATRX,0.034,0.734
ATXN1,0.227,0.017
ATXN10,-0.138,0.037
ATXN1L,0.014,0.118
ATXN2,-0.203,0.515
ATXN2L,0.012,0.839
ATXN3,-0.107,0.335
ATXN3L,-0.363,0.508
ATXN7,0.046,0.671
ATXN7L1,0.066,0.589
ATXN7L2,0.191,0.602
ATXN7L3,-0.024,0.739
ATXN7L3B,0.158,0.179
ATXN8,0.309,0.444
ATXN8OS,-1.400,0.309
AUH,-0.019,0.844
AUP1,0.024,0.737
AURKA,-0.386,0.008
AURKAIP1,-0.065,0.493
AURKAPS1,-0.025,0.865
AURKB,-1.150,0.001
AURKC,-0.084,0.563
AUTS2,0.310,0.551
AVEN,-0.002,0.972
AVIL,0.189,0.562
AVL9,0.131,0.517
AVP,-0.002,0.994
AVPI1,-0.252,0.004
AVPR1A,-0.016,0.962
AVPR1B,0.478,0.248
AVPR2,0.089,0.888
AWAT1,-0.052,0.509
AWAT2,-0.887,0.148
AXDND1,0.167,0.107
AXIN1,0.025,0.763
AXIN2,0.174,0.239
AXL,-0.119,0.507
AZFP,-0.702,0.032
AZGP1,0.757,0.001
AZGP1P1,0.326,0.492
AZI1,0.058,0.542
AZI2,-0.080,0.490
AZIN1,0.264,0.029
AZU1,-0.168,0.409
B2M,0.144,0.050
B3GALNT1,0.175,0.154
B3GALNT2,-0.102,0.321
B3GALT1,0.341,0.136
B3GALT2,0.066,0.657
B3GALT4,-0.124,0.769
B3GALT5,-0.179,0.175
B3GALT6,-0.026,0.707
B3GALTL,-0.116,0.431
B3GAT1,0.024,0.917
B3GAT2,0.031,0.830
B3GAT3,0.156,0.164
B3GNT1,0.220,0.299
B3GNT2,0.146,0.347
B3GNT3,-0.178,0.048
B3GNT4,1.240,0.212
B3GNT5,0.075,0.486
B3GNT6,0.001,0.997
B3GNT7,-0.107,0.735
B3GNT8,0.011,0.945
B3GNT9,-0.129,0.359
B3GNTL1,-0.217,0.056
B4GALNT1,0.472,0.001
B4GALNT2,-0.319,0.266
B4GALNT3,0.055,0.847
B4GALNT4,-0.341,0.280
B4GALT1,0.082,0.518
B4GALT2,-0.132,0.202
B4GALT3,0.156,0.112
B4GALT4,0.122,0.570
B4GALT5,0.338,0.011
B4GALT6,0.022,0.706
B4GALT7,0.052,0.580
B7H6,0.107,0.199
B9D1,-0.036,0.857
B9D2,0.018,0.807
BAALC,-0.024,0.497
BAAT,-0.201,0.104
BABAM1,0.307,0.012
BACE1,-0.115,0.386
BACE2,-0.043,0.821
BACH1,0.223,0.037
BACH2,0.171,0.637
BAD,-0.052,0.023
BAG1,0.010,0.981
BAG2,0.069,0.486
BAG3,-0.074,0.720
BAG4,-0.066,0.970
BAG5,0.065,0.675
BAG6,0.176,0.016
BAGE,-0.069,0.841
BAGE4,0.006,0.981
BAHCC1,-0.063,0.789
BAHD1,0.007,0.930
BAI1,0.057,0.714
BAI2,-0.261,0.552
BAI3,0.018,0.775
BAIAP2,0.003,0.299
BAIAP2L1,0.698,0.114
BAIAP2L2,-0.509,0.061
BAIAP3,-0.109,0.672
BAK1,0.046,0.651
BAMBI,-0.372,0.004
BANF1,0.120,0.625
BANF2,0.027,0.686
BANK1,-0.051,0.799
BANP,0.015,0.957
BAP1,0.098,0.236
BARD1,0.227,0.115
BARHL1,-0.158,0.436
BARHL2,0.656,0.141
BARX1,2.280,0.051
BARX2,0.289,0.325
BASP1,-0.092,0.912
BASP1P1,-0.291,0.318
BATF,-0.524,0.003
BATF2,0.162,0.198
BATF3,-0.135,0.503
BAX,0.048,0.705
BAZ1A,0.109,0.190
BAZ1B,0.058,0.722
BAZ2A,0.018,0.850
BAZ2B,-0.041,0.672
BBC3,0.270,0.025
BBIP1,-0.060,0.913
BBOX1,-0.607,0.004
BBS1,-0.165,0.546
BBS10,-0.388,0.034
BBS12,0.189,0.199
BBS2,0.016,0.874
BBS4,0.081,0.235
BBS5,-0.087,0.411
BBS7,0.066,0.433
BBS9,0.204,0.224
BBX,0.173,0.029
BCAM,-0.230,0.265
BCAN,-0.755,0.209
BCAP29,-0.153,0.253
BCAP31,0.074,0.369
BCAR1,-0.189,0.177
BCAR3,-0.177,0.187
BCAR4,-0.005,0.990
BCAS1,1.049,0.000
BCAS2,-0.092,0.219
BCAS3,0.042,0.234
BCAS4,-0.063,0.570
BCAT1,0.220,0.527
BCAT2,0.253,0.036
BCCIP,-0.008,0.426
BCDIN3D,0.092,0.269
BCHE,-0.668,0.023
BCKDHA,-0.043,0.460
BCKDHB,-0.267,0.077
BCKDK,0.051,0.648
BCL10,0.235,0.305
BCL11A,-0.163,0.513
BCL11B,-0.061,0.676
BCL2,0.051,0.648
BCL2A1,-0.139,0.273
BCL2L1,0.044,0.658
BCL2L10,-0.080,0.455
BCL2L11,0.151,0.242
BCL2L12,0.142,0.043
BCL2L13,-0.046,0.303
BCL2L14,-0.180,0.376
BCL2L15,-0.323,0.535
BCL2L2,-0.051,0.645
BCL3,0.435,0.001
BCL6,0.047,0.646
BCL6B,-0.140,0.504
BCL7A,0.762,0.001
BCL7B,-0.049,0.924
BCL7C,0.150,0.613
BCL9,-0.192,0.392
BCL9L,0.009,0.943
BCLAF1,-0.019,0.590
BCMO1,0.281,0.284
BCO2,-0.302,0.061
BCOR,-0.160,0.219
BCORL1,-0.010,0.935
BCORP1,0.071,0.816
BCR,0.090,0.665
BCRP2,0.246,0.024
BCS1L,-0.038,0.641
BDH1,-0.685,0.068
BDH2,-0.088,0.691
BDKRB1,0.013,0.930
BDKRB2,-0.092,0.622
BDNF,-0.587,0.273
BDNF-AS1,-0.554,0.045
BDP1,-0.079,0.581
BEAN1,0.058,0.589
BECN1,0.077,0.417
BEGAIN,-0.041,0.776
BEND2,0.227,0.403
BEND3,0.015,0.297
BEND4,0.652,0.642
BEND5,0.125,0.223
BEND6,-0.015,0.992
BEND7,0.287,0.010
BEST1,0.158,0.414
BEST2,0.226,0.579
BEST3,-0.243,0.849
BEST4,-0.157,0.260
BET1,-0.285,0.027
BET1L,-0.085,0.797
BET3L,0.203,0.851
BEX1,-0.687,0.099
BEX2,0.102,0.431
BEX4,0.021,0.938
BEX5,0.015,0.899
BFAR,0.141,0.289
BFSP1,-0.264,0.014
BFSP2,-1.100,0.156
BGLAP,0.162,0.340
BGN,0.464,0.133
BHLHA15,-0.043,0.841
BHLHA9,-0.391,0.322
BHLHB9,0.117,0.313
BHLHE22,0.417,0.287
BHLHE23,0.110,0.764
BHLHE40,1.060,0.000
BHLHE41,-0.310,0.078
BHMT,-0.890,0.005
BHMT2,0.137,0.178
BICC1,-0.420,0.060
BICD1,0.141,0.302
BICD2,0.016,0.868
BID,0.234,0.004
BIK,0.340,0.016
BIN1,0.305,0.012
BIN2,0.544,0.259
BIN3,0.096,0.304
BIRC2,-0.024,0.798
BIRC3,0.029,0.864
BIRC5,-0.967,0.000
BIRC6,-0.329,0.022
BIRC7,0.079,0.587
BIRC8,0.227,0.605
BIVM,0.036,0.634
BK250D10.8,0.831,0.063
BLACE,0.388,0.210
BLCAP,-0.087,0.237
BLID,0.013,0.841
BLK,-0.065,0.766
BLM,0.031,0.863
BLMH,-0.130,0.279
BLNK,-0.024,0.619
BLOC1S1,0.153,0.199
BLOC1S2,0.125,0.139
BLOC1S3,-0.278,0.077
BLVRA,0.017,0.867
BLVRB,0.326,0.004
BLZF1,-0.067,0.746
BMF,0.132,0.531
BMI1,0.062,0.777
BMP1,0.207,0.126
BMP10,0.927,0.000
BMP15,1.000,0.234
BMP2,-0.551,0.003
BMP2K,-0.089,0.762
BMP3,0.165,0.515
BMP4,-0.135,0.416
BMP5,0.739,0.026
BMP6,-0.196,0.331
BMP7,-0.031,0.738
BMP8A,0.690,0.047
BMP8B,0.035,0.875
BMPER,-0.442,0.018
BMPR1A,0.195,0.067
BMPR1B,-0.303,0.385
BMPR2,0.195,0.577
BMS1,-0.043,0.680
BMS1P1,-0.069,0.818
BMS1P4,-0.079,0.717
BMX,-0.306,0.182
BNC1,-0.119,0.391
BNC2,-0.267,0.465
BNIP1,-0.068,0.508
BNIP2,-0.140,0.044
BNIP3,-0.043,0.555
BNIP3L,0.203,0.053
BNIPL,-0.069,0.691
BOC,0.830,0.015
BOD1,0.064,0.718
BOD1L,0.108,0.780
BOD1P,-0.122,0.751
BOK,-0.056,0.418
BOLA1,-0.044,0.709
BOLA2B,-0.076,0.738
BOLA3,-0.148,0.400
BOLL,0.067,0.240
BOP1,-0.047,0.536
BORA,-0.159,0.243
BPESC1,1.390,0.021
BPGM,-0.061,0.489
BPHL,-0.122,0.094
BPI,-0.351,0.359
BPIFA1,-0.377,0.035
BPIFA2,0.026,0.701
BPIFA3,0.111,0.334
BPIFA4P,0.000,0.995
BPIFB1,0.001,0.988
BPIFB2,-0.477,0.010
BPIFB3,0.117,0.850
BPIFB4,-0.022,0.834
BPIFB6,0.019,0.759
BPIFC,0.648,0.110
BPNT1,-0.065,0.388
BPTF,-0.359,0.025
BPY2B,-1.230,0.004
BRAF,0.023,0.744
BRAP,0.033,0.756
BRAT1,-0.226,0.082
BRCA1,-0.066,0.584
BRCA2,-0.352,0.299
BRCC3,0.081,0.514
BRD1,-0.178,0.133
BRD2,-0.099,0.323
BRD3,0.187,0.121
BRD4,0.077,0.530
BRD7,-0.044,0.507
BRD7P3,-0.521,0.017
BRD8,1.042,0.103
BRD9,0.044,0.693
BRDT,0.017,0.808
BRE,-0.113,0.143
BREA2,-0.014,0.956
BRF1,0.034,0.669
BRF2,-0.007,0.948
BRI3,0.073,0.500
BRI3BP,-0.055,0.669
BRIP1,-0.149,0.547
BRIX1,0.055,0.754
BRK1,-0.084,0.841
BRMS1,0.132,0.103
BRMS1L,0.068,0.677
BROX,-0.040,0.729
BRP44,-0.162,0.178
BRP44L,-0.039,0.738
BRPF1,0.054,0.716
BRPF3,0.103,0.889
BRS3,0.158,0.375
BRSK1,1.540,0.256
BRSK2,-0.045,0.829
BRWD1,-0.091,0.803
BRWD1-IT2,0.039,0.820
BRWD3,0.113,0.468
BSCL2,-0.180,0.058
BSDC1,-0.042,0.718
BSG,0.146,0.216
BSN,0.319,0.303
BSND,-0.268,0.145
BSPH1,0.008,0.920
BSPRY,0.086,0.350
BST1,-0.189,0.307
BST2,0.102,0.555
BSX,0.376,0.249
BTAF1,-0.049,0.637
BTBD1,-0.014,0.834
BTBD10,0.020,0.740
BTBD11,1.510,0.000
BTBD16,-0.722,0.004
BTBD17,-0.335,0.451
BTBD18,-0.486,0.078
BTBD19,-1.921,0.073
BTBD2,0.098,0.320
BTBD3,0.235,0.154
BTBD6,0.009,0.907
BTBD7,-0.051,0.665
BTBD8,0.028,0.481
BTBD9,-0.152,0.061
BTC,-0.118,0.473
BTD,-0.146,0.269
BTF3,0.143,0.080
BTF3L4,0.142,0.400
BTF3P11,0.007,0.918
BTG1,-0.005,0.955
BTG2,0.414,0.003
BTG3,0.031,0.740
BTG4,0.018,0.753
BTK,0.111,0.847
BTLA,-0.238,0.510
BTN1A1,-0.278,0.098
BTN2A1,-0.083,0.715
BTN2A2,0.053,0.865
BTN2A3P,0.202,0.031
BTN3A1,-0.065,0.959
BTN3A2,0.255,0.038
BTNL2,0.228,0.294
BTNL3,-0.834,0.046
BTNL8,-0.089,0.668
BTNL9,0.353,0.549
BTRC,0.157,0.141
BUB1,-0.154,0.371
BUB1B,-0.197,0.176
BUB3,-0.039,0.852
BUD13,-0.096,0.243
BUD31,-0.181,0.120
BUTR1,-0.203,0.338
BVES,0.582,0.166
BYSL,0.007,0.950
BZRAP1,0.141,0.735
BZW1,0.181,0.019
BZW2,-0.050,0.672
C10orf10,0.412,0.307
C10orf105,0.031,0.613
C10orf107,0.005,0.932
C10orf108,-0.343,0.017
C10orf11,0.143,0.071
C10orf111,-0.054,0.918
C10orf112,-0.149,0.663
C10orf113,-0.177,0.322
C10orf114,-0.256,0.221
C10orf116,-0.254,0.060
C10orf118,0.017,0.926
C10orf12,0.067,0.544
C10orf120,0.134,0.687
C10orf122,0.064,0.609
C10orf125,-0.258,0.018
C10orf128,-0.045,0.932
C10orf129,0.416,0.239
C10orf131,-0.013,0.827
C10orf136,0.019,0.760
C10orf137,0.014,0.745
C10orf140,-0.183,0.566
C10orf2,0.011,0.949
C10orf25,-0.019,0.917
C10orf26,0.128,0.422
C10orf27,-0.446,0.001
C10orf28,0.118,0.300
C10orf32,-0.006,0.954
C10orf35,0.069,0.560
C10orf40,0.061,0.388
C10orf46,0.275,0.048
C10orf47,-0.026,0.972
C10orf53,0.243,0.442
C10orf54,0.111,0.278
C10orf55,0.014,0.813
C10orf57,-0.121,0.497
C10orf58,0.114,0.397
C10orf62,0.449,0.425
C10orf67,0.294,0.194
C10orf68,-0.579,0.122
C10orf71,0.018,0.960
C10orf76,-0.018,0.252
C10orf81,0.077,0.648
C10orf82,0.140,0.728
C10orf88,0.009,0.936
C10orf90,-0.266,0.156
C10orf91,0.022,0.951
C10orf92,0.210,0.504
C10orf93,0.131,0.588
C10orf95,0.035,0.890
C10orf96,-0.076,0.857
C10orf99,0.556,0.305
C11orf1,0.595,0.166
C11orf10,-0.015,0.918
C11orf16,0.050,0.453
C11orf2,0.137,0.310
C11orf20,-0.182,0.113
C11orf21,-0.163,0.587
C11orf24,-0.065,0.444
C11orf30,-0.090,0.338
C11orf31,0.012,0.730
C11orf34,-0.894,0.003
C11orf35,-0.172,0.102
C11orf36,0.046,0.890
C11orf40,1.340,0.021
C11orf41,-0.181,0.085
C11orf42,-0.093,0.703
C11orf44,-0.022,0.951
C11orf45,0.336,0.345
C11orf46,-0.074,0.513
C11orf48,-0.020,0.772
C11orf49,0.113,0.266
C11orf51,-0.003,0.981
C11orf52,-0.414,0.022
C11orf53,0.342,0.617
C11orf54,-0.369,0.012
C11orf57,-0.031,0.836
C11orf58,-0.084,0.491
C11orf61,0.007,0.935
C11orf63,0.336,0.434
C11orf65,-0.076,0.665
C11orf67,-0.134,0.290
C11orf68,-0.056,0.541
C11orf70,-0.185,0.790
C11orf71,-0.209,0.288
C11orf73,-0.043,0.546
C11orf74,0.125,0.275
C11orf75,-0.150,0.069
C11orf80,0.087,0.710
C11orf82,-0.224,0.222
C11orf83,-0.232,0.012
C11orf84,0.230,0.456
C11orf85,-0.361,0.032
C11orf86,0.022,0.777
C11orf87,0.193,0.549
C11orf88,0.018,0.785
C11orf9,0.073,0.782
C11orf91,-0.138,0.695
C11orf92,0.013,0.844
C11orf93,0.198,0.473
C11orf94,0.052,0.787
C11orf95,0.022,0.589
C11orf96,-0.022,0.940
C12orf10,-0.005,0.947
C12orf11,0.008,0.895
C12orf12,-0.156,0.394
C12orf23,-0.179,0.085
C12orf24,-0.075,0.466
C12orf26,-0.130,0.262
C12orf28,-1.420,0.001
C12orf29,-0.051,0.570
C12orf32,0.063,0.739
C12orf33,-0.033,0.479
C12orf34,0.425,0.069
C12orf35,-0.267,0.020
C12orf36,0.400,0.115
C12orf37,0.016,0.807
C12orf39,-0.518,0.047
C12orf4,-0.039,0.647
C12orf40,-0.464,0.138
C12orf42,-0.066,0.956
C12orf43,0.251,0.106
C12orf44,0.019,0.846
C12orf45,-0.126,0.165
C12orf47,-0.074,0.612
C12orf48,-0.070,0.523
C12orf49,0.520,0.051
C12orf5,0.101,0.364
C12orf50,0.763,0.406
C12orf51,0.066,0.850
C12orf52,0.211,0.066
C12orf53,0.821,0.150
C12orf54,0.021,0.864
C12orf56,-0.361,0.002
C12orf57,0.052,0.576
C12orf59,0.709,0.214
C12orf60,-0.429,0.017
C12orf61,0.004,0.951
C12orf62,-0.124,0.154
C12orf63,0.015,0.494
C12orf65,0.021,0.865
C12orf66,-0.062,0.251
C12orf68,-0.102,0.505
C12orf69,0.092,0.685
C12orf70,-0.132,0.339
C12orf71,0.283,0.246
C12orf73,-0.139,0.116
C12orf74,0.051,0.414
C12orf75,-0.461,0.004
C12orf76,-0.371,0.041
C12orf77,0.002,0.978
C13orf15,0.206,0.301
C13orf16,0.100,0.697
C13orf26,0.033,0.632
C13orf27,-0.146,0.378
C13orf30,-0.467,0.622
C13orf33,-0.061,0.795
C13orf35,-0.189,0.530
C14orf1,-0.360,0.017
C14orf101,-0.090,0.453
C14orf102,0.032,0.750
C14orf105,-0.654,0.002
C14orf109,0.168,0.075
C14orf118,0.024,0.832
C14orf119,-0.387,0.337
C14orf126,-0.026,0.872
C14orf128,-0.166,0.176
C14orf129,-0.088,0.316
C14orf132,0.193,0.251
C14orf133,0.148,0.134
C14orf135,-0.073,0.535
C14orf142,-0.163,0.282
C14orf149,0.075,0.351
C14orf159,0.075,0.409
C14orf162,-0.374,0.276
C14orf165,0.585,0.231
C14orf166,-0.095,0.170
C14orf166B,0.142,0.340
C14orf167,-0.035,0.933
C14orf169,-0.019,0.895
C14orf176,-0.044,0.728
C14orf177,0.119,0.386
C14orf178,-0.161,0.525
