HGNC_SYMBOL,LOG2FC,PVALUE
ANKRD63,0.323,0.213
ANKRD65,0.104,0.714
ANKRD7,0.541,0.366
ANKRD9,0.026,0.823
ANKS1A,0.005,0.970
ANKS1B,0.082,0.509
ANKS3,-0.218,0.089
ANKS4B,-0.195,0.180
ANKS6,-0.016,0.838
ANKUB1,0.214,0.521
ANKZF1,-0.101,0.542
ANLN,-0.803,0.006
ANO1,0.380,0.030
ANO10,0.145,0.346
ANO2,-0.216,0.605
ANO3,-1.880,0.009
ANO4,0.023,0.720
ANO5,0.134,0.342
ANO6,0.194,0.195
ANO7,-0.075,0.891
ANO8,0.007,0.907
ANO9,-0.131,0.197
ANP32A,-0.106,0.637
ANP32A-IT1,-0.323,0.092
ANP32B,-0.018,0.897
ANP32C,0.129,0.841
ANP32D,-0.432,0.130
ANP32E,-0.047,0.950
ANPEP,-0.309,0.094
ANTXR1,0.014,0.981
ANTXR2,0.147,0.438
ANTXRL,-0.385,0.155
ANXA1,-0.098,0.634
ANXA10,-1.110,0.009
ANXA11,-0.098,0.339
ANXA13,-0.778,0.014
ANXA2,0.325,0.363
ANXA2P1,0.046,0.572
ANXA2P3,-0.194,0.528
ANXA3,0.197,0.124
ANXA4,0.016,0.842
ANXA5,0.210,0.051
ANXA6,0.045,0.754
ANXA7,-0.197,0.053
ANXA8L2,-0.515,0.008
ANXA9,0.178,0.320
AOAH,-0.060,0.863
AOC2,-0.040,0.864
AOC3,0.076,0.473
AOC4,0.400,0.329
AOX1,-0.216,0.009
AOX2P,0.348,0.182
AP1AR,-0.110,0.344
AP1B1,0.020,0.829
AP1G1,-0.036,0.666
AP1G2,0.065,0.516
AP1M1,-0.160,0.263
AP1M2,0.286,0.020
AP1S1,-0.179,0.475
AP1S2,-0.017,0.680
AP1S3,0.038,0.321
AP2A1,0.032,0.870
AP2A2,-0.010,0.766
AP2B1,-0.003,0.983
AP2M1,0.074,0.394
AP2S1,0.055,0.657
AP3B1,0.147,0.210
AP3B2,-0.048,0.916
AP3D1,0.035,0.794
AP3M1,0.059,0.530
AP3M2,0.106,0.616
AP3S1,-0.097,0.642
AP3S2,0.067,0.396
AP4B1,0.079,0.779
AP4E1,0.080,0.282
AP4M1,0.028,0.792
AP4S1,-0.232,0.684
APAF1,0.089,0.655
APBA1,0.070,0.846
APBA2,0.217,0.617
APBA3,0.129,0.395
APBB1,0.171,0.072
APBB1IP,0.244,0.082
APBB2,-0.250,0.053
APBB3,0.390,0.009
APC,-0.279,0.089
